Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880			15255793	15017337	98.44						
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.FDR50_free_macs2	81.0	57476									
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.chrM			372790	371821	99.74						
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.free_macs2	81.0	50203									
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.noXYM			13823862	13742530	99.41						
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1						21.794474560080175	56.0	76.0	76	18.181818181818183	7758059.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1_val_1						14.827104305559928	56.0	53.44294570405157	60	9.090909090909092	7626849.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2						20.81538940582658	56.0	76.0	76	18.181818181818183	7758059.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2_val_2						14.103768109115151	56.0	53.43742179765195	60	9.090909090909092	7626849.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880			14957210	14747673	98.6						
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.FDR50_free_macs2	81.0	56917									
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.chrM			356278	355328	99.73						
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.free_macs2	81.0	49462									
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.noXYM			13587982	13507101	99.4						
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1						21.177039076735312	56.0	76.0	76	18.181818181818183	7599922.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1_val_1						14.396692477065216	55.0	53.6281596881993	60	9.090909090909092	7477597.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2						20.17127407782479	55.0	76.0	76	18.181818181818183	7599922.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2_val_2						13.69296593789305	55.0	53.61806312910418	60	9.090909090909092	7477597.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880			16505882	16281648	98.64						
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.FDR50_free_macs2	81.0	58270									
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.chrM			664496	662602	99.71						
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.free_macs2	81.0	41787									
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.noXYM			14624740	14542908	99.44						
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1						21.101422803494557	54.0	76.0	76	18.181818181818183	8381745.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1_val_1						15.000877086762827	54.0	53.94586089689616	60	9.090909090909092	8251836.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R2						20.067445501632136	54.0	76.0	76	18.181818181818183	8381745.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R2_val_2						14.264447460563161	54.0	53.93543315693623	60	9.090909090909092	8251836.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880			16259631	16048495	98.7						
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.FDR50_free_macs2	81.0	58431									
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.chrM			644518	642801	99.73						
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.free_macs2	81.0	49904									
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.noXYM			14432213	14349657	99.43						
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R1						21.924142415834694	55.0	76.0	76	18.181818181818183	8253274.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R1_val_1						15.66481430489165	55.0	54.13427130094906	60	9.090909090909092	8128781.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R2						21.135068540180697	55.0	76.0	76	18.181818181818183	8253274.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R2_val_2						14.946239566535766	54.0	54.123866788882616	60	9.090909090909092	8128781.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880			11779063	11611213	98.58						
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.FDR50_free_macs2	81.0	55467									
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.chrM			256665	256008	99.74						
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.free_macs2	81.0	49146									
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.noXYM			10726514	10661543	99.39						
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R1						20.973483795480547	57.0	76.0	76	18.181818181818183	5978894.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R1_val_1						14.059209663652595	57.0	53.68326459206609	60	9.090909090909092	5888748.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R2						19.876709685605334	57.0	76.0	76	18.181818181818183	5978894.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R2_val_2						13.224264831600166	57.0	53.68085236454336	60	9.090909090909092	5888748.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880			11188576	11034768	98.63						
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.FDR50_free_macs2	81.0	54159									
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.chrM			261124	260480	99.75						
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.free_macs2	81.0	47983									
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.noXYM			10179454	10116698	99.38						
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R1						20.86248785343308	57.0	76.0	76	18.181818181818183	5673892.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R1_val_1						14.080594280119456	57.0	53.96639951973263	60	9.090909090909092	5593551.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R2						19.9465810298899	57.0	76.0	76	18.181818181818183	5673892.0
